	protein	scores	predict result
0	allergen_2145	0.9944309592247009	allergenicity
1	allergen_109	0.991417646408081	allergenicity
2	allergen_2419	0.019497571513056755	non-allergenicity
3	allergen_12	0.9999123811721802	allergenicity
4	allergen_117	0.9998779296875	allergenicity
5	non-allergen_30176	0.005692507605999708	non-allergenicity
6	non-allergen_4723	0.0027593038976192474	non-allergenicity
7	non-allergen_20342	0.38766613602638245	non-allergenicity
8	allergen_829	0.9878638386726379	allergenicity
9	non-allergen_28719	0.7847939729690552	allergenicity
10	allergen_3200	0.9992082715034485	allergenicity
11	allergen_2644	0.9999881982803345	allergenicity
12	non-allergen_19066	0.031733959913253784	non-allergenicity
13	allergen_2968	0.9999998807907104	allergenicity
14	allergen_543	0.9197097420692444	allergenicity
15	allergen_2741	0.11376148462295532	non-allergenicity
16	non-allergen_32964	0.024468349292874336	non-allergenicity
17	allergen_1690	0.9852471351623535	allergenicity
18	non-allergen_16104	0.09888118505477905	non-allergenicity
19	allergen_3486	0.9999955892562866	allergenicity
20	allergen_3353	0.9578477144241333	allergenicity
21	non-allergen_33218	0.8566694855690002	allergenicity
22	non-allergen_27380	0.00021390774054452777	non-allergenicity
23	non-allergen_5584	0.04599166288971901	non-allergenicity
24	non-allergen_10916	0.7921684980392456	allergenicity
25	allergen_1605	0.9999948740005493	allergenicity
26	allergen_1729	0.9999393224716187	allergenicity
27	non-allergen_4985	0.021105283871293068	non-allergenicity
28	allergen_92	0.9545885324478149	allergenicity
29	allergen_2194	0.9903516173362732	allergenicity
30	allergen_1590	0.9971174001693726	allergenicity
31	non-allergen_13543	2.542684887885116e-05	non-allergenicity
32	non-allergen_12072	0.001165284076705575	non-allergenicity
33	non-allergen_6301	0.9847686290740967	allergenicity
34	allergen_1834	0.9999994039535522	allergenicity
35	non-allergen_14854	0.0168593879789114	non-allergenicity
36	non-allergen_23968	0.05857544392347336	non-allergenicity
37	allergen_1137	0.9781960248947144	allergenicity
38	non-allergen_22717	0.01763302832841873	non-allergenicity
39	allergen_228	0.998852014541626	allergenicity
40	allergen_2904	0.9926562905311584	allergenicity
41	allergen_2976	1.0	allergenicity
42	allergen_1392	0.9991469383239746	allergenicity
43	allergen_550	0.9543219208717346	allergenicity
44	allergen_2492	0.9995848536491394	allergenicity
45	non-allergen_29220	0.0004839915782213211	non-allergenicity
46	allergen_3474	0.9977118968963623	allergenicity
47	allergen_1657	0.9998152852058411	allergenicity
48	allergen_372	0.9955368041992188	allergenicity
49	allergen_3172	0.9988825917243958	allergenicity
50	allergen_2985	0.24865320324897766	non-allergenicity
51	allergen_2907	0.9999992847442627	allergenicity
52	allergen_3048	0.002724231220781803	non-allergenicity
53	allergen_2238	0.9994198083877563	allergenicity
54	non-allergen_11621	1.2689958566625137e-05	non-allergenicity
55	allergen_3440	0.9873598217964172	allergenicity
56	non-allergen_15728	0.018320143222808838	non-allergenicity
57	non-allergen_22394	0.2504335045814514	non-allergenicity
58	non-allergen_2665	0.10815344750881195	non-allergenicity
59	non-allergen_13313	0.21457412838935852	non-allergenicity
60	allergen_2677	0.9489076137542725	allergenicity
61	non-allergen_32968	0.6241961121559143	allergenicity
62	non-allergen_23641	0.9752581715583801	allergenicity
63	allergen_761	0.9964613318443298	allergenicity
64	allergen_1872	0.9999737739562988	allergenicity
65	non-allergen_31463	0.2519415616989136	non-allergenicity
66	allergen_3114	0.9998818635940552	allergenicity
67	allergen_3340	0.9972761273384094	allergenicity
68	allergen_2612	0.9699977040290833	allergenicity
69	allergen_2060	0.9999996423721313	allergenicity
70	allergen_636	0.9288049936294556	allergenicity
71	allergen_13	0.9996212720870972	allergenicity
72	non-allergen_8070	0.019216617569327354	non-allergenicity
73	non-allergen_20774	0.0005021042888984084	non-allergenicity
74	allergen_540	0.9999997615814209	allergenicity
75	allergen_2045	0.9999927282333374	allergenicity
76	allergen_2394	0.012927346862852573	non-allergenicity
77	allergen_1700	0.9851283431053162	allergenicity
78	allergen_76	0.9524034857749939	allergenicity
