PDB_File,Total_SASA,Radius_of_Gyration,Compactness,Contact_Order,SS_Helix,SS_Strand,SS_Coil
N_272145.pdb,30919.205,25.617848509831262,23.38213530188236,0.052266468938782576,0.7095158597662772,0.045075125208681135,0.24540901502504173
N_545266.pdb,29827.719,25.676237711273053,23.328963017701437,0.06232358015448217,0.10517529215358931,0.3622704507512521,0.5325542570951586
N_408914.pdb,41338.26,33.244053881350666,18.018259810847812,0.015796509808013354,0.6193656093489148,0.01335559265442404,0.3672787979966611
N_175048.pdb,26387.879,24.509393250184466,24.480410178880465,0.06493460873324687,0.41333333333333333,0.19666666666666666,0.39
N_72393.pdb,62730.53,34.10222158126467,17.5941616756614,0.01495243223837731,0.17,0.085,0.745
N_157807.pdb,27735.244,26.916924036543193,22.2908085331527,0.08836278359511344,0.7283333333333334,0.016666666666666666,0.255
N_277536.pdb,49605.344,35.1898903579664,17.050351504268615,0.018519774011299436,0.3233333333333333,0.14833333333333334,0.5283333333333333
N_251427.pdb,60113.434,31.91382008144844,18.831966792636095,0.012046346619664416,0.22628951747088186,0.018302828618968387,0.7554076539101497
N_40722.pdb,32719.275,36.92572340297509,16.275916748907285,0.03728253364573783,0.2961730449251248,0.2562396006655574,0.4475873544093178
N_323808.pdb,39960.574,32.52800536418509,18.476386525124287,0.037756437456197646,0.20632279534109818,0.21797004991680533,0.5757071547420965
N_508208.pdb,35156.633,36.09295302896063,16.651449924802872,0.039589170410330304,0.6722129783693843,0.11148086522462562,0.21630615640599002
N_140530.pdb,66961.93,35.753872780913916,16.809367860167164,0.006990068099559154,0.34608985024958405,0.0033277870216306157,0.6505823627287853
N_424264.pdb,37117.55,32.82773057081825,18.307692598593782,0.03238652114251088,0.4525790349417637,0.2129783693843594,0.33444259567387685
N_223650.pdb,31200.723,28.920470744420253,20.81570543301569,0.048189906094161926,0.1893687707641196,0.39867109634551495,0.4119601328903654
N_77888.pdb,31310.678,26.37805206132078,22.822003633950565,0.042279579111367704,0.43853820598006643,0.18604651162790697,0.3754152823920266
N_381012.pdb,24161.908,23.649589888277546,25.454986866321725,0.09004916532096315,0.41029900332225916,0.2059800664451827,0.38372093023255816
N_298614.pdb,58339.008,38.996553536348806,15.437261640028623,0.018168166999929975,0.5830564784053156,0.0,0.4169435215946844
N_41278.pdb,56858.215,57.32501274656583,10.50152404957056,0.00931782945736434,0.7724252491694352,0.0,0.22757475083056478
N_94738.pdb,29042.15,26.918634921704346,22.36368975436458,0.03868244013919478,0.09800664451827243,0.41362126245847175,0.4883720930232558
N_140383.pdb,70878.33,38.57378039174212,15.632380178352712,0.01958840821646001,0.32172470978441126,0.0,0.6782752902155887
N_7230.pdb,48195.9,30.766177709389435,19.599444744023963,0.018872291486167352,0.41956882255389716,0.03814262023217247,0.5422885572139303
N_111968.pdb,45412.344,28.156900841902708,21.415709185672302,0.016180869592383452,0.6252072968490879,0.0,0.3747927031509121
N_436255.pdb,29883.953,26.784855672365854,22.512721643003655,0.042682087952520355,0.527363184079602,0.12769485903814262,0.3449419568822554
N_456269.pdb,26270.33,25.134899759259465,23.990547238122975,0.053829231987735246,0.31343283582089554,0.16583747927031509,0.5207296849087893
N_113306.pdb,64354.81,35.69809229354479,16.919671646129395,0.008305287156660514,0.4768211920529801,0.0,0.5231788079470199
N_347193.pdb,36222.21,27.141727905268898,22.25355740460239,0.047450097938625126,0.2433774834437086,0.347682119205298,0.40894039735099336
N_501549.pdb,30930.969,33.94800176459399,17.79191612479356,0.03699441550965274,0.30132450331125826,0.26986754966887416,0.4288079470198676
N_231717.pdb,33641.27,33.82730707316723,17.855397081818246,0.013030216715326734,0.7152317880794702,0.0033112582781456954,0.2814569536423841
N_39433.pdb,63857.44,35.29891819245995,17.13933545219047,0.010869546365110613,0.2528925619834711,0.03471074380165289,0.7123966942148761
N_15617.pdb,53720.24,28.03441800812458,21.58061564982967,0.010796280425417849,0.46942148760330576,0.021487603305785124,0.509090909090909
N_168368.pdb,53176.5,32.28437972585632,18.739712676451393,0.01858323494687131,0.2628099173553719,0.1305785123966942,0.6066115702479339
N_193902.pdb,31345.707,26.72042273219573,22.641857356209748,0.05205079566693686,0.2066115702479339,0.30578512396694213,0.48760330578512395
N_155087.pdb,35062.188,26.808839006000802,22.56718390022704,0.0457074090184138,0.5074380165289256,0.10082644628099173,0.39173553719008264
N_425481.pdb,34572.965,33.20638129979487,18.249504350651527,0.012347267030073794,0.6815181518151815,0.0,0.3184818481848185
N_506555.pdb,25567.926,25.703186548657364,23.576843238981787,0.054840681329300194,0.35148514851485146,0.26567656765676567,0.38283828382838286
N_162384.pdb,70818.84,43.86381276723586,13.815488480578518,0.0038356144959286478,0.4389438943894389,0.0,0.5610561056105611
N_370829.pdb,59612.12,32.669041395485735,18.549671925290657,0.01503167558135124,0.27887788778877887,0.0462046204620462,0.6749174917491749
N_309408.pdb,54320.008,38.43748806560028,15.791874821893893,0.028597891741019472,0.6359143327841845,0.0,0.3640856672158155
N_39427.pdb,59902.766,37.40296343762063,16.228660625042014,0.01860626193010155,0.2553542009884679,0.03459637561779242,0.7100494233937397
N_490689.pdb,32457.15,26.972668498866376,22.50426204680161,0.049116307534267156,0.7693574958813838,0.0,0.23064250411861614
N_337057.pdb,31182.611,27.013137771010356,22.47054767000867,0.059484544336155756,0.5222405271828665,0.12191103789126853,0.35584843492586493
N_494929.pdb,30968.928,33.72450342811222,17.998782437045886,0.06407030691397474,0.71499176276771,0.07413509060955518,0.21087314662273476
N_32480.pdb,29675.055,26.51420552920916,22.893388200197187,0.022330383190556368,0.3624382207578254,0.171334431630972,0.46622734761120266
N_283074.pdb,52975.453,33.27660539106923,18.241043305544217,0.017540796127427337,0.37067545304777594,0.12355848434925865,0.5057660626029654
N_298519.pdb,25355.912,23.72532279554784,25.626627095421178,0.044111353929503265,0.06578947368421052,0.37993421052631576,0.5542763157894737
N_342454.pdb,27847.088,25.188965224786564,24.137553669799544,0.05078510967656939,0.4029605263157895,0.14638157894736842,0.4506578947368421
N_236398.pdb,44952.066,27.15648579244956,22.38875842208733,0.02991682123811732,0.4375,0.07236842105263158,0.4901315789473684
N_336170.pdb,25194.418,23.97007089442569,25.364964612657538,0.04416015405148986,0.7648026315789473,0.024671052631578948,0.21052631578947367
N_11041.pdb,25259.598,25.44320812439271,23.93566082636192,0.05970705671961035,0.2857142857142857,0.28407224958949095,0.4302134646962233
N_508173.pdb,35417.11,36.297146737129346,16.778178307250723,0.040330950904709666,0.638752052545156,0.10837438423645321,0.25287356321839083
N_200883.pdb,28023.975,28.39471065348836,21.447656481936463,0.05251068885273429,0.5090311986863711,0.1444991789819376,0.3464696223316913
N_348913.pdb,38049.383,35.02499993964459,17.38758032974831,0.04575023716320747,0.6600985221674877,0.10837438423645321,0.2315270935960591
N_495632.pdb,64463.15,35.29015223981158,17.256938872396645,0.014382373149797949,0.25779967159277506,0.026272577996715927,0.715927750410509
N_116242.pdb,39501.703,39.5400506798285,15.40210468952898,0.011604040172604727,0.6699507389162561,0.0,0.33004926108374383
N_400795.pdb,30884.299,28.69415856333253,21.258682273384455,0.02244485514725296,0.38524590163934425,0.16393442622950818,0.45081967213114754
N_28889.pdb,41783.81,29.615308596759956,20.59745546824174,0.02431335769228264,0.4967213114754098,0.05573770491803279,0.44754098360655736
N_510197.pdb,28728.387,27.14747893606305,22.506693952650608,0.04460752820930676,0.2978723404255319,0.2995090016366612,0.4026186579378069
N_512833.pdb,27948.719,27.61835559570306,22.122968106582746,0.0645546317512275,0.6873977086743044,0.11292962356792144,0.19967266775777415
N_113191.pdb,29021.045,25.725444347075737,23.75080452476047,0.042708847571225436,0.7004909983633388,0.022913256955810146,0.2765957446808511
N_12590.pdb,41728.523,30.869231916359507,19.793171454848977,0.02969784953196421,0.29132569558101473,0.16366612111292964,0.5450081833060556
N_293217.pdb,55237.0,36.31872826661037,16.823276286403534,0.02867117488592006,0.5826513911620295,0.006546644844517185,0.41080196399345337
N_289605.pdb,40097.703,85.05394489537109,7.1954334481822135,0.023587467460718766,0.5669934640522876,0.17647058823529413,0.2565359477124183
N_150301.pdb,30400.465,28.433681854533674,21.52376899801382,0.04215056543239338,0.5751633986928104,0.12254901960784313,0.3022875816993464
N_28646.pdb,61298.26,40.6825110932449,15.043319194267218,0.01623472310483611,0.5816993464052288,0.0,0.41830065359477125
N_169089.pdb,41669.43,27.869874483120682,21.995075735675158,0.039162060821504224,0.3376835236541599,0.11582381729200653,0.5464926590538336
N_403668.pdb,43664.57,33.269095097927284,18.425508664892746,0.03069181640705723,0.265905383360522,0.25938009787928223,0.47471451876019577
N_274185.pdb,43048.664,29.00332590642455,21.13550707866279,0.03857883870309951,0.16476345840130505,0.3262642740619902,0.5089722675367048
N_334337.pdb,26785.254,24.755371783158875,24.762302314402124,0.05519697749120171,0.3964110929853181,0.2039151712887439,0.399673735725938
N_391521.pdb,41242.066,33.223467778612616,18.450813265032334,0.03149875778843631,0.2903752039151713,0.30179445350734097,0.4078303425774878
N_258842.pdb,55703.203,31.187963286143336,19.655018648567957,0.02096664721782308,0.18107667210440456,0.08319738988580751,0.7357259380097879
N_158011.pdb,67969.32,37.504325058641086,16.344781542969358,0.005388277314096969,0.33278955954323003,0.013050570962479609,0.6541598694942904
N_267305.pdb,34560.055,31.36983068798623,19.541068171425035,0.03556063154052011,0.3164763458401305,0.19086460032626426,0.4926590538336052
N_302239.pdb,32949.85,27.66550146950695,22.157559684058196,0.05017209985378606,0.7765089722675367,0.0032626427406199023,0.22022838499184338
N_377972.pdb,63544.586,37.117258270761525,16.5152284559466,0.00752734029005908,0.564437194127243,0.009787928221859706,0.4257748776508972
N_367717.pdb,67262.89,55.074303811827725,11.130417591739988,0.00768466681496861,0.6557911908646004,0.0,0.3442088091353997
