fold,model,auc,accuracy,precision,recall,f1,mcc,threshold,stop_epoch
0,dummy,0.5,0.5231723237597912,0.0,0.0,0.0,0.0,0.5,
0,CNN,0.9972173154117686,0.9843342036553525,0.9936507936507937,0.9762944479101684,0.9848961611076148,0.9687898408736225,0.44784998893737793,21.0
1,dummy,0.5,0.5231723237597912,0.0,0.0,0.0,0.0,0.5,
1,CNN,0.9958108150229954,0.985313315926893,0.9924146649810367,0.9794135995009358,0.9858712715855573,0.9706736101443744,0.9,22.0
2,dummy,0.5,0.5231723237597912,0.0,0.0,0.0,0.0,0.5,
2,CNN,0.9962476243422775,0.9859660574412533,0.993046776232617,0.9800374298190893,0.9864992150706436,0.9719811940017634,0.7338512539863586,29.0
3,dummy,0.5,0.5231723237597912,0.0,0.0,0.0,0.0,0.5,
3,CNN,0.9945396700146841,0.9866187989556136,0.9968193384223919,0.9775421085464754,0.9870866141732283,0.9734049612973809,0.42453062534332275,19.0
4,dummy,0.5,0.5233431276526281,0.0,0.0,0.0,0.0,0.5,
4,CNN,0.9957942727249419,0.9843290891283056,0.9930247305009512,0.9769182782283219,0.9849056603773585,0.9687546478228451,0.6898499131202698,25.0
